🇨🇳央视频道,#genre#
南京影视,http://127.0.0.1:35455/tptv/G_NJYS.m3u8
南京娱乐,http://127.0.0.1:35455/tptv/G_NJYL.m3u8
重庆卫视,http://127.0.0.1:35455/itv/1000000001000001096.m3u8?cdn=ystenlive
重庆卫视,http://127.0.0.1:35455/itv/1000000005000265017.m3u8?cdn=ystenlive
重庆卫视,http://127.0.0.1:35455/tptv/G_CHONGQING-CQ.m3u8
中国乡村之声,http://127.0.0.1:35455/tptv/GITV-JS-15.m3u8
中国教育4台,http://127.0.0.1:35455/itv/5000000011000031126.m3u8?cdn=bestzb
中国教育1台,http://127.0.0.1:35455/itv/5000000002000002652.m3u8?cdn=bestzb
镇江新闻综合,http://127.0.0.1:35455/tptv/G_ZHENJIANGTV-1.m3u8
镇江新闻综合,http://127.0.0.1:35455/tptv/G_ZHENJIANGTV-2.m3u8
镇江新闻综合,http://127.0.0.1:35455/tptv/G_ZHENJIANGTV-3.m3u8
浙江卫视,http://127.0.0.1:35455/itv/5000000004000007275.m3u8?cdn=bestzb
浙江卫视,http://127.0.0.1:35455/itv/1000000001000014260.m3u8?cdn=ystenlive
浙江卫视,http://127.0.0.1:35455/itv/1000000005000265031.m3u8?cdn=ystenlive
浙江卫视,http://127.0.0.1:35455/tptv/G_ZHEJIANG-HD-265-8M.m3u8
云南卫视,http://127.0.0.1:35455/itv/5000000011000031120.m3u8?cdn=bestzb
云南卫视,http://127.0.0.1:35455/tptv/G_YUNNAN-HQ.m3u8
伊春公共,http://127.0.0.1:35455/tptv/jsntsantao.m3u8
央视文化精品,http://127.0.0.1:35455/tptv/G_CCTV-WENHUA-CQ.m3u8
央视台球,http://127.0.0.1:35455/tptv/G_TAIQIU-CQ.m3u8
徐州电视台,http://127.0.0.1:35455/tptv/xzxwzh.m3u8
徐州电视台,http://127.0.0.1:35455/tptv/xzjjsh.m3u8
徐州电视台,http://127.0.0.1:35455/tptv/xzwyys.m3u8
徐州电视台,http://127.0.0.1:35455/tptv/xzgg.m3u8
徐州电视台,http://127.0.0.1:35455/tptv/G_XZXYTV-3.m3u8
徐州电视台,http://127.0.0.1:35455/tptv/xzpxxwzh.m3u8
徐州电视台,http://127.0.0.1:35455/tptv/xzpxzy.m3u8
徐州电视台,http://127.0.0.1:35455/tptv/xzpxsh.m3u8
天津卫视,http://127.0.0.1:35455/itv/5000000004000006827.m3u8?cdn=bestzb
天津卫视,http://127.0.0.1:35455/itv/6000000001000009186.m3u8?cdn=wasusyt
天津卫视,http://127.0.0.1:35455/itv/1000000005000265026.m3u8?cdn=ystenlive
天津卫视,http://127.0.0.1:35455/tptv/G_TIANJIN-HD-265-8M.m3u8
睢宁综合,http://127.0.0.1:35455/tptv/xzsnzh.m3u8
睢宁资讯,http://127.0.0.1:35455/tptv/xzsnzx.m3u8
睢宁三农,http://127.0.0.1:35455/tptv/xzsnsn.m3u8
宿豫综合,http://127.0.0.1:35455/tptv/G_SQZH.m3u8
宿豫综合,http://127.0.0.1:35455/tptv/G_SQGG.m3u8
四川叙永,http://127.0.0.1:35455/tptv/cos-yonganmeng.m3u8
四川卫视,http://127.0.0.1:35455/itv/5000000004000006119.m3u8?cdn=bestzb
四川卫视,http://127.0.0.1:35455/tptv/G_SICHUAN-CQ.m3u8
深圳卫视,http://127.0.0.1:35455/itv/5000000004000007410.m3u8?cdn=bestzb
深圳卫视,http://127.0.0.1:35455/itv/6000000001000002116.m3u8?cdn=wasusyt
深圳卫视,http://127.0.0.1:35455/itv/1000000005000265028.m3u8?cdn=ystenlive
深圳卫视,http://127.0.0.1:35455/tptv/G_SHENZHEN-HD-265-8M.m3u8
上海新闻综合,http://127.0.0.1:35455/itv/5000000011000031110.m3u8?cdn=bestzb
上海纪实人文,http://127.0.0.1:35455/tptv/H265-5500k-1080P-shanghaijishi.m3u8
上海都市,http://127.0.0.1:35455/itv/5000000010000018926.m3u8?cdn=bestzb
上海东方影视,http://127.0.0.1:35455/itv/5000000010000032212.m3u8?cdn=bestzb
上海第一财经,http://127.0.0.1:35455/itv/5000000010000027146.m3u8?cdn=bestzb
上海ICS,http://127.0.0.1:35455/itv/5000000010000030951.m3u8?cdn=bestzb
山东卫视,http://127.0.0.1:35455/itv/1000000001000016568.m3u8?cdn=ystenlive
山东卫视,http://127.0.0.1:35455/itv/6000000001000004134.m3u8?cdn=wasusyt
山东卫视,http://127.0.0.1:35455/itv/1000000005000265019.m3u8?cdn=ystenlive
山东卫视,http://127.0.0.1:35455/tptv/G_SHANDONG-HD-265-8M.m3u8
三沙卫视,http://127.0.0.1:35455/tptv/G_SANSHA-HQ.m3u8
庆元电视台,http://127.0.0.1:35455/tptv/zhifouzf.m3u8
青海卫视,http://127.0.0.1:35455/itv/1000000002000013359.m3u8?cdn=ystenlive
南通电视台,http://127.0.0.1:35455/tptv/jsntyitao.m3u8
南通电视台,http://127.0.0.1:35455/tptv/jsntertao.m3u8
辽宁卫视,http://127.0.0.1:35455/itv/5000000004000011671.m3u8?cdn=bestzb
辽宁卫视,http://127.0.0.1:35455/itv/1000000005000265022.m3u8?cdn=ystenlive
辽宁卫视,http://127.0.0.1:35455/tptv/G_LIAONING-HD-265-8M.m3u8
江西卫视,http://127.0.0.1:35455/itv/1000000006000268001.m3u8?cdn=ystenlive
江西卫视,http://127.0.0.1:35455/itv/1000000005000265032.m3u8?cdn=ystenlive
江西卫视,http://127.0.0.1:35455/tptv/G_JIANGXI-CQ.m3u8
贾汪新闻,http://127.0.0.1:35455/tptv/GITV-JS-13.m3u8
纪实人文,http://127.0.0.1:35455/itv/5000000004000010282.m3u8?cdn=bestzb
纪实人文,http://127.0.0.1:35455/itv/1000000005000265021.m3u8?cdn=ystenlive
吉林卫视,http://127.0.0.1:35455/itv/5000000011000031117.m3u8?cdn=bestzb
吉林卫视,http://127.0.0.1:35455/tptv/G_JILIN-CQ.m3u8
湖南卫视,http://127.0.0.1:35455/itv/5000000004000006692.m3u8?cdn=bestzb
湖南卫视,http://127.0.0.1:35455/itv/6000000001000018044.m3u8?cdn=wasusyt
湖南卫视,http://127.0.0.1:35455/itv/1000000005000265024.m3u8?cdn=ystenlive
湖南卫视,http://127.0.0.1:35455/tptv/G_HUNAN-HD-265-8M.m3u8
湖南金鹰纪实,http://127.0.0.1:35455/itv/5000000011000031203.m3u8?cdn=bestzb
湖南茶频道,http://127.0.0.1:35455/itv/5000000011000031209.m3u8?cdn=bestzb
湖南,http://127.0.0.1:35455/itv/5000000011000031206.m3u8?cdn=bestzb
湖北卫视,http://127.0.0.1:35455/itv/1000000001000024621.m3u8?cdn=ystenlive
湖北卫视,http://127.0.0.1:35455/itv/6000000001000015436.m3u8?cdn=wasusyt
湖北卫视,http://127.0.0.1:35455/itv/1000000005000265023.m3u8?cdn=ystenlive
湖北卫视,http://127.0.0.1:35455/tptv/G_HUBEI-HD-265-8M.m3u8
黑莓电影,http://127.0.0.1:35455/tptv/HD-8000k-1080P-Supermovie.m3u8
