央视频道,#genre#
CCTV10 (IPV6)(1920x1080),https://stream1.freetv.fun/e6ba1214030dae03e34221e6cd431a1eaab114bd3daecdfc02e621c7f255d45e.m3u8
CCTV10 (IPV6)(1920x1080),https://stream1.freetv.fun/02238e0de6e218015f9eaf9088569e53289ecd7cd66f72bb5c7ad786f6d2a1dc.m3u8
CCTV10 (IPV6)(1920x1080),https://stream1.freetv.fun/83ad9ed8541faa11a04d63d5ac9caf6704ea470f51badcdc5df85741d284afeb.m3u8
CCTV10 (IPV6)(1920x1080),https://stream1.freetv.fun/3a429b946ad6f85090fdf08b78c3c8ffe79dd44d6901deb4e40272eff0b20563.m3u8
CCTV10 (IPV6)(1920x1080),https://stream1.freetv.fun/e870050e79faf90d424c5b864c075bb54d74c5ad53e47ff5e5b256967332a861.m3u8
CCTV10 HD(1920x1080),https://stream1.freetv.fun/a88250526f826e92d23d26958b22bbe71f1e9acdb7221483c2de6dcfe761166e.m3u8
CCTV10 科教(1920x1080),https://stream1.freetv.fun/66fa3621a1b279924646a0d493f9f37fae1a75c074cc127071c4f16db841a578.ctv
CCTV10 科教(1920x1080),https://stream1.freetv.fun/83bdb564d43329c9b0b70879f200c4b6f42a948f4c58cf063d3c73d193555f3e.m3u8
CCTV10(1920x1080),https://stream1.freetv.fun/2f0f8d580d0df26251dc66276d82fc98350a1d8cbbbc03920b9ed6f5c31c752c.m3u8
CCTV10(1920x1080),https://stream1.freetv.fun/f468e21c78c4b43eab179dca92f202acad0d5aec369e55528344a682a970fa29.ctv
CCTV10(1920x1080),https://stream1.freetv.fun/b12f0af3235a8dec85b8bf1e2d12d581ed08d36dbfbd004126c3597984c52952.m3u8
CCTV10(1920x1080),https://stream1.freetv.fun/d96b3614ed5dad02915c1ded3c02dd882c606885ba0d15428e36558dc622ab0f.m3u8
CCTV10(1920x1080),https://stream1.freetv.fun/b64aea7564e5387395450f24c8ea33ff43d1a3f6892a280a2ac9d9d981591de6.m3u8
CCTV10(1920x1080),https://stream1.freetv.fun/9cf74b406cc193bdd8f11b6018407d5909a4da2f8629cfb7747dc143726a33c7.m3u8
CCTV10(1920x1080),https://stream1.freetv.fun/8cfeecdbadd9203cc384a3f6af19b3de51a7b594947cc72d382bf40ef9d72096.m3u8
CCTV10(1920x1080),https://stream1.freetv.fun/c27fc205a672a3ba5290d5f657cddc22c3dea277d961fff5865f266055b5abaa.m3u8
CCTV10(1920x1080),https://stream1.freetv.fun/b1380a97f3366ac8e7c1d54bb35fb682a1013bd5b5d73e215a7d99590dc67f00.m3u8
